nombre_archivo,peso_kbytes,tipo
pdf/109429_67478.pdf,5734.2451171875,1
pdf/109691_67388.pdf,6010.6435546875,1
pdf/109927_4359.pdf,770.775390625,1
pdf/109933_4392.pdf,1126.4892578125,1
pdf/109936_4393.pdf,287.90625,1
pdf/109939_4394.pdf,187.498046875,1
pdf/109942_10147.pdf,363.27734375,0
pdf/109944_10148.pdf,1023.94921875,1
pdf/109948_11344.pdf,286.9736328125,1
pdf/109951_11345.pdf,968.1240234375,1
pdf/109954_11346.pdf,1590.7578125,1
pdf/109957_11347.pdf,159.0615234375,1
pdf/109960_11348.pdf,2442.1220703125,1
pdf/109969_11351.pdf,382.5810546875,1
pdf/109972_11352.pdf,906.6142578125,1
pdf/109975_11353.pdf,407.947265625,1
pdf/109984_11357.pdf,956.0361328125,1
pdf/109987_11358.pdf,1251.083984375,1
pdf/109990_11359.pdf,1277.3408203125,1
pdf/110001_11615.pdf,422.556640625,1
pdf/110004_11616.pdf,619.35546875,1
pdf/110017_12399.pdf,1223.396484375,1
pdf/110020_13599.pdf,126.3046875,1
pdf/110024_11354.pdf,581.6689453125,1
pdf/110626_55408.pdf,2203.6455078125,1
pdf/110755_67942.pdf,1512.208984375,1
pdf/110791_67985.pdf,3195.2080078125,0
pdf/110819_55416.pdf,4445.5947265625,1
pdf/110822_55417.pdf,1157.7919921875,1
pdf/110825_55418.pdf,6030.4130859375,1
pdf/110828_55419.pdf,6143.646484375,1
pdf/110831_55420.pdf,2293.1123046875,1
pdf/110834_55421.pdf,2271.8349609375,1
pdf/110846_67995.pdf,3145.2841796875,1
pdf/13600.pdf,317.947265625,1
pdf/17567.pdf,2973.8662109375,1
pdf/17597.pdf,2712.8388671875,1
pdf/20844_1.pdf,37680.443359375,1
pdf/20909_109.pdf,681.298828125,0
pdf/20922_124.pdf,132.81640625,0
pdf/21431_1354.pdf,2534.095703125,0
pdf/21788_1906.pdf,1450.630859375,0
pdf/21933_2256.pdf,10410.384765625,0
pdf/22320_2985.pdf,430.8974609375,1
pdf/22453_3226.pdf,2209.3037109375,0
pdf/22498_3275.pdf,90.7275390625,1
pdf/22544_1.pdf,1787.52734375,1
pdf/22712_3668.pdf,2867.1552734375,0
